statisticTable1,statisticTable2,statisticTable3,statisticTable4,statisticTable5,statisticTable6,statisticTable7,statisticTable8,statisticTable9,statisticTable10,statisticTable11,statisticTable12,statisticTable13,statisticTable14,statisticTable15,statisticTable16,statisticTable17,statisticTable18,statisticTable19,statisticTable20,statisticTable21,
"""Frame lengh\ Frame shift",5ms,6ms,7ms,8ms,9ms,10ms,11ms,12ms,13ms,14ms,15ms,16ms,17ms,18ms,19ms,20ms,21ms,22ms,23ms,24ms,max
20ms,0.714285714,0.714285714,0.704761905,0.704761905,0.742857143,0.714285714,0.733333333,0.714285714,0.723809524,0.704761905,0.704761905,0.723809524,0.733333333,0.742857143,0.714285714,,,,,,0.742857143
21ms,0.714285714,0.704761905,0.704761905,0.704761905,0.733333333,0.704761905,0.733333333,0.714285714,0.714285714,0.704761905,0.704761905,0.733333333,0.723809524,0.733333333,0.704761905,0.733333333,,,,,0.733333333
22ms,0.714285714,0.704761905,0.704761905,0.704761905,0.704761905,0.695238095,0.752380952,0.714285714,0.723809524,0.723809524,0.685714286,0.733333333,0.714285714,0.733333333,0.723809524,0.742857143,0.676190476,,,,0.752380952
23ms,0.714285714,0.695238095,0.714285714,0.704761905,0.714285714,0.676190476,0.714285714,0.704761905,0.723809524,0.704761905,0.685714286,0.733333333,0.723809524,0.723809524,0.723809524,0.714285714,0.666666667,0.714285714,,,0.733333333
24ms,0.695238095,0.695238095,0.714285714,0.704761905,0.695238095,0.695238095,0.685714286,0.704761905,0.723809524,0.742857143,0.695238095,0.733333333,0.733333333,0.742857143,0.714285714,0.704761905,0.685714286,0.695238095,0.723809524,,0.742857143
25ms,0.695238095,0.695238095,0.704761905,0.695238095,0.714285714,0.695238095,0.714285714,0.695238095,0.723809524,0.704761905,0.695238095,0.723809524,0.723809524,0.742857143,0.723809524,0.714285714,0.676190476,0.733333333,0.676190476,0.704761905,0.742857143
,,,,,,,,,,,,,,,,,,,,,0.752380952
